school_name,division,city_state,type,conference,athletics_domain,status
University of Tulsa,NCAA D1,"Tulsa,Oklahoma",Private,American Athletic Conference,tulsahurricane.com,FOUND
University of Utah,NCAA D1,"Salt Lake City,Utah",Public,Big 12 Conference,utahutes.com,FOUND
University of Virginia,NCAA D1,"Charlottesville,Virginia",Public,Atlantic Coast Conference,virginiasports.com,FOUND
University of Washington,NCAA D1,"Seattle,Washington",Public,Big Ten,gohuskies.com,FOUND
University of West Georgia,NCAA D1,"Carrollton,Georgia",Public,United Athletic Conference,westga.edu,FOUND
University of Wisconsin,NCAA D1,"Madison,Wisconsin",Public,Big Ten,uwbadgers.com,FOUND
University of Wisconsin – Green Bay,NCAA D1,"Green Bay,Wisconsin",Public,Horizon League,uwbadgers.com,FOUND
University of Wisconsin – Milwaukee,NCAA D1,"Milwaukee,Wisconsin",Public,Horizon League,uwbadgers.com,FOUND
University of Wyoming,NCAA D1,"Laramie,Wyoming",Public,Mountain West Conference,gowyo.com,FOUND
University of the Incarnate Word,NCAA D1,"San Antonio,Texas",Private,Southland Conference,uiwcardinals.com,FOUND
University of the Pacific,NCAA D1,"Stockton,California",Private,West Coast Conference,pacifictigers.com,FOUND
Utah State University,NCAA D1,"Logan,Utah",Public,Mountain West Conference,utahstateaggies.com,FOUND
Utah Valley University,NCAA D1,"Orem,Utah",Public,Western Athletic Conference,utahstateaggies.com,FOUND
Valparaiso University,NCAA D1,"Valparaiso,Indiana",Private,Missouri Valley Conference,valpoathletics.com,FOUND
Vanderbilt University,NCAA D1,"Nashville,Tennessee",Private,Southeastern Conference,vucommodores.com,FOUND
Villanova University,NCAA D1,"Villanova,Pennsylvania",Private,Big East Conference,villanova.com,FOUND
Virginia Commonwealth University,NCAA D1,"Richmond,Virginia",Public,Atlantic 10 Conference,vcuathletics.com,FOUND
Virginia Tech,NCAA D1,"Blacksburg,Virginia",Public,Atlantic Coast Conference,hokiesports.com,FOUND
Wake Forest University,NCAA D1,"Winston Salem,North Carolina",Private,Atlantic Coast Conference,goforesters.com,FOUND
Washington State University,NCAA D1,"Pullman,Washington",Public,West Coast Conference,wsucougars.com,FOUND
Weber State University,NCAA D1,"Ogden,Utah",Public,Big Sky Conference,weberstatesports.com,FOUND
West Virginia University,NCAA D1,"Morgantown,West Virginia",Public,Big 12 Conference,wvusports.com,FOUND
Western Carolina University,NCAA D1,"Cullowhee,North Carolina",Public,Southern Conference,catamountsports.com,FOUND
Western Illinois University,NCAA D1,"Macomb,Illinois",Public,Ohio Valley Conference,goleathernecks.com,FOUND
Western Kentucky University,NCAA D1,"Bowling Green,Kentucky",Public,Conference USA,wkusports.com,FOUND
Western Michigan University,NCAA D1,"Kalamazoo,Michigan",Public,Mid-American Conference,wmubroncos.com,FOUND
Wichita State University,NCAA D1,"Wichita,Kansas",Public,American Athletic Conference,goshockers.com,FOUND
William & Mary,NCAA D1,"Williamsburg,Virginia",Public,Colonial Athletic Association,tribeathletics.com,FOUND
Winthrop University,NCAA D1,"Rock Hill,South Carolina",Public,Big South Conference,winthropeagles.com,FOUND
Wofford College,NCAA D1,"Spartanburg,South Carolina",Private,Southern Conference,woffordterriers.com,FOUND
Wright State University,NCAA D1,"Dayton,Ohio",Public,Horizon League,wsuraiders.com,FOUND
Xavier University,NCAA D1,"Cincinnati,Ohio",Private,Big East Conference,goxavier.com,FOUND
Yale University,NCAA D1,"New Haven,Connecticut",Private,Ivy League,yalebulldogs.com,FOUND
Youngstown State University,NCAA D1,"Youngstown,Ohio",Public,Missouri Valley Conference,ysusports.com,FOUND
Academy of Art University,NCAA D2,"San Francisco,California",Private,Pacific West Conference,artuathletics.com,FOUND
Adams State University,NCAA D2,"Alamosa,Colorado",Public,Rocky Mountain Athletic Conference,asugrizzlies.com,FOUND
Adelphi University,NCAA D2,"Garden City,New York",Private,Northeast-10 Conference,aupanthers.com,FOUND
Albany State University,NCAA D2,"Albany,Georgia",Public,Southern Intercollegiate Athletic Conference,ualbanysports.com,FOUND
Allen University,NCAA D2,"Columbia,South Carolina",Private,Southern Intercollegiate Athletic Conference,auyellowjackets.com,FOUND
American International College,NCAA D2,"Springfield,Massachusetts",Private,Northeast-10 Conference,aicyellowjackets.com,FOUND
Anderson University – South Carolina,NCAA D2,"Anderson,South Carolina",Private,South Atlantic Conference,athletics.anderson.edu,FOUND
Angelo State University,NCAA D2,"San Angelo,Texas",Public,Lone Star Conference,angelosports.com,FOUND
Arkansas Tech University,NCAA D2,"Russellville,Arkansas",Public,Great American Conference,arkansastechsports.com,FOUND
Ashland University,NCAA D2,"Ashland,Ohio",Private,Great Midwest Athletic Conference,goashlandeagles.com,FOUND
Assumption University,NCAA D2,"Worcester,Massachusetts",Private,Northeast-10 Conference,assumptiongreyhounds.com,FOUND
Auburn University – Montgomery,NCAA D2,"Montgomery,Alabama",Public,Gulf South Conference,auburntigers.com,FOUND
Augusta University,NCAA D2,"Augusta,Georgia",Public,Peach Belt Conference,augustajags.com,FOUND
Augustana University – South Dakota,NCAA D2,"Sioux Falls,South Dakota",Private,Northern Sun Intercollegiate Conference,athletics.augustana.edu,FOUND
Azusa Pacific University,NCAA D2,"Azusa,California",Private,Pacific West Conference,athletics.apu.edu,FOUND
Barry University,NCAA D2,"Miami,Florida",Private,Sunshine State Conference,gobarrybucs.com,FOUND
Barton College,NCAA D2,"Wilson,North Carolina",Private,Conference Carolinas,bartonbulldogs.com,FOUND
Belmont Abbey College,NCAA D2,"Belmont,North Carolina",Private,Conference Carolinas,abbeyathletics.com,FOUND
Bemidji State University,NCAA D2,"Bemidji,Minnesota",Public,Northern Sun Intercollegiate Conference,bsubeavers.com,FOUND
Benedict College,NCAA D2,"Columbia,South Carolina",Private,Southern Intercollegiate Athletic Conference,benedicttigers.com,FOUND
Bentley University,NCAA D2,"Waltham,Massachusetts",Private,Northeast-10 Conference,bentleyfalcons.com,FOUND
Biola University,NCAA D2,"La Mirada,California",Private,Pacific West Conference,athletics.biola.edu,FOUND
Black Hills State University,NCAA D2,"Spearfish,South Dakota",Public,Rocky Mountain Athletic Conference,bhsuathletics.com,FOUND
Bloomfield College,NCAA D2,"Bloomfield,New Jersey",Private,Central Atlantic Collegiate Conference,bcbearsathletics.com,FOUND
Bloomsburg University of Pennsylvania,NCAA D2,"Bloomsburg,Pennsylvania",Public,Pennsylvania State Athletic Conference,bloomsburgathletics.com,FOUND
Bluefield State University,NCAA D2,"Bluefield,West Virginia",Public,Central Intercollegiate Athletic Association,gobstate.com,FOUND
Bowie State University,NCAA D2,"Bowie,Maryland",Public,Central Intercollegiate Athletic Association,bsubulldogs.com,FOUND
Cal Poly Humboldt,NCAA D2,"Arcata,California",Public,California Collegiate Athletic Association,humboldtathletics.com,FOUND
Caldwell University,NCAA D2,"Caldwell,New Jersey",Private,Central Atlantic Collegiate Conference,caldwellathletics.com,FOUND
California State Polytechnic University – Pomona,NCAA D2,"Pomona,California",Public,California Collegiate Athletic Association,cpp.edu,FOUND
California State University – Chico,NCAA D2,"Chico,California",Public,California Collegiate Athletic Association,calbears.com,FOUND
California State University – Dominguez Hills,NCAA D2,"Carson,California",Public,California Collegiate Athletic Association,calbears.com,FOUND
California State University – East Bay,NCAA D2,"Hayward,California",Public,California Collegiate Athletic Association,calbears.com,FOUND
California State University – Los Angeles,NCAA D2,"Los Angeles,California",Public,California Collegiate Athletic Association,calbears.com,FOUND
California State University – Monterey Bay,NCAA D2,"Seaside,California",Public,California Collegiate Athletic Association,calbears.com,FOUND
California State University – San Bernardino,NCAA D2,"San Bernardino,California",Public,California Collegiate Athletic Association,calbears.com,FOUND
California State University – San Marcos,NCAA D2,"San Marcos,California",Public,California Collegiate Athletic Association,calbears.com,FOUND
California State University – Stanislaus,NCAA D2,"Turlock,California",Public,California Collegiate Athletic Association,calbears.com,FOUND
California University of Pennsylvania,NCAA D2,"California,Pennsylvania",Public,Pennsylvania State Athletic Conference,calvulcans.com,FOUND
Cameron University,NCAA D2,"Lawton,Oklahoma",Public,Lone Star Conference,cameronaggies.com,FOUND
Carson-Newman University,NCAA D2,"Jefferson City,Tennessee",Private,South Atlantic Conference,cneagles.com,FOUND
Catawba College,NCAA D2,"Salisbury,North Carolina",Private,South Atlantic Conference,catawbaathletics.com,FOUND
Cedarville University,NCAA D2,"Cedarville,Ohio",Private,Great Midwest Athletic Conference,yellowjackets.cedarville.edu,FOUND
Central State University,NCAA D2,"Wilberforce,Ohio",Public,Southern Intercollegiate Athletic Conference,maraudersports.com,FOUND
Central Washington University,NCAA D2,"Ellensburg,Washington",Public,Great Northwest Athletic Conference,wildcatsports.com,FOUND
Chadron State College,NCAA D2,"Chadron,Nebraska",Public,Rocky Mountain Athletic Conference,chadroneagles.com,FOUND
Chaminade University of Honolulu,NCAA D2,"Honolulu,Hawaii",Private,Pacific West Conference,goswords.com,FOUND
Chestnut Hill College,NCAA D2,"Philadelphia,Pennsylvania",Private,Central Atlantic Collegiate Conference,griffinathletics.com,FOUND
Chowan University,NCAA D2,"Murfreesboro,North Carolina",Private,Central Intercollegiate Athletic Association,gocuhawks.com,FOUND
Christian Brothers University,NCAA D2,"Memphis,Tennessee",Private,Gulf South Conference,cbubucs.com,FOUND
Claflin University,NCAA D2,"Orangeburg,South Carolina",Private,Central Intercollegiate Athletic Association,athletics.claflin.edu,FOUND
Clarion University of Pennsylvania,NCAA D2,"Clarion,Pennsylvania",Public,Pennsylvania State Athletic Conference,clariongoldeneagles.com,FOUND
Clark Atlanta University,NCAA D2,"Atlanta,Georgia",Private,Southern Intercollegiate Athletic Conference,clarkatlantasports.com,FOUND
Coker University,NCAA D2,"Hartsville,South Carolina",Private,South Atlantic Conference,cokercobras.com,FOUND
Colorado Christian University,NCAA D2,"Lakewood,Colorado",Private,Rocky Mountain Athletic Conference,ccucougars.com,FOUND
Colorado Mesa University,NCAA D2,"Grand Junction,Colorado",Public,Rocky Mountain Athletic Conference,cmumavericks.com,FOUND
Colorado School of Mines,NCAA D2,"Golden,Colorado",Public,Rocky Mountain Athletic Conference,minesathletics.com,FOUND
Colorado State University – Pueblo,NCAA D2,"Pueblo,Colorado",Public,Rocky Mountain Athletic Conference,csurams.com,FOUND
Concord University,NCAA D2,"Athens,West Virginia",Public,Mountain East Conference,cumountainlions.com,FOUND
Concordia University – Irvine,NCAA D2,"Irvine,California",Private,Pacific West Conference,cuigoldeneagles.com,FOUND
"Concordia University, St. Paul – Minnesota",NCAA D2,"Saint Paul,Minnesota",Private,Northern Sun Intercollegiate Conference,cspbears.com,FOUND
Converse University,NCAA D2,"Spartanburg,South Carolina",Private,Conference Carolinas,govalkyries.com,FOUND
D'Youville University,NCAA D2,"Buffalo,New York",Private,East Coast Conference,dyusaints.com,FOUND
Daemen University,NCAA D2,"Amherst,New York",Private,East Coast Conference,daemenwildcats.com,FOUND
Dallas Baptist University,NCAA D2,"Dallas,Texas",Private,Lone Star Conference,dbupatriots.com,FOUND
Davenport University,NCAA D2,"Grand Rapids,Michigan",Private,Great Lakes Intercollegiate Athletic Conference,dupanthers.com,FOUND
Davis & Elkins College,NCAA D2,"Elkins,West Virginia",Private,Mountain East Conference,senatornation.com,FOUND
Dominican University of California,NCAA D2,"San Rafael,California",Private,Pacific West Conference,dominicanathletics.com,FOUND
Dominican University – New York,NCAA D2,"Orangeburg,New York",Private,Central Atlantic Collegiate Conference,dominicanathletics.com,FOUND
Drury University,NCAA D2,"Springfield,Missouri",Private,Great Lakes Valley Conference,drurypanthers.com,FOUND
East Central University,NCAA D2,"Ada,Oklahoma",Public,Great American Conference,ecutigers.com,FOUND
East Stroudsburg University of Pennsylvania,NCAA D2,"East Stroudsburg,Pennsylvania",Public,Pennsylvania State Athletic Conference,esuwarriors.com,FOUND
Eastern New Mexico University,NCAA D2,"Portales,New Mexico",Public,Lone Star Conference,goeasternathletics.com,FOUND
Eckerd College,NCAA D2,"Saint Petersburg,Florida",Private,Sunshine State Conference,eckerdtritons.com,FOUND
Edinboro University,NCAA D2,"Edinboro,Pennsylvania",Public,Pennsylvania State Athletic Conference,gofightingscots.com,FOUND
Edward Waters University,NCAA D2,"Jacksonville,Florida",Private,Southern Intercollegiate Athletic Conference,ewutigerpride.com,FOUND
Elizabeth City State University,NCAA D2,"Elizabeth City,North Carolina",Public,Central Intercollegiate Athletic Association,ecsuvikings.com,FOUND
Embry-Riddle Aeronautical University,NCAA D2,"Daytona Beach,Florida",Private,Sunshine State Conference,erauathletics.com,FOUND
Emmanuel University – Georgia,NCAA D2,"Franklin Springs,Georgia",Private,Conference Carolinas,goeulions.com,FOUND
Emory & Henry College,NCAA D2,"Emory,Virginia",Private,South Atlantic Conference,emoryhenry.edu,FOUND
Emporia State University,NCAA D2,"Emporia,Kansas",Public,Mid-America Intercollegiate Athletics Association,esuhornets.com,FOUND
Erskine College,NCAA D2,"Due West,South Carolina",Private,Conference Carolinas,erskinesports.com,FOUND
Fairmont State University,NCAA D2,"Fairmont,West Virginia",Public,Mountain East Conference,fightingfalcons.com,FOUND
Fayetteville State University,NCAA D2,"Fayetteville,North Carolina",Public,Central Intercollegiate Athletic Association,fsubroncos.com,FOUND
Felician University,NCAA D2,"Rutherford,New Jersey",Private,Central Atlantic Collegiate Conference,felicianuathletics.com,FOUND
Ferris State University,NCAA D2,"Big Rapids,Michigan",Public,Great Lakes Intercollegiate Athletic Conference,ferrisstatebulldogs.com,FOUND
Flagler College – St. Augustine,NCAA D2,"Saint Augustine,Florida",Private,Peach Belt Conference,flaglerathletics.com,FOUND
Florida Southern College,NCAA D2,"Lakeland,Florida",Private,Sunshine State Conference,fscmocs.com,FOUND
Florida Tech,NCAA D2,"Melbourne,Florida",Private,Sunshine State Conference,floridatechsports.com,FOUND
Fort Hays State University,NCAA D2,"Hays,Kansas",Public,Mid-America Intercollegiate Athletics Association,fhsu.edu,FOUND
Fort Lewis College,NCAA D2,"Durango,Colorado",Public,Rocky Mountain Athletic Conference,goskyhawks.com,FOUND
Fort Valley State University,NCAA D2,"Fort Valley,Georgia",Public,Southern Intercollegiate Athletic Conference,golcdragons.com,FOUND
Francis Marion University,NCAA D2,"Florence,South Carolina",Public,Conference Carolinas,fmupatriots.com,FOUND
Franklin Pierce University,NCAA D2,"Rindge,New Hampshire",Private,Northeast-10 Conference,fpuravens.com,FOUND
Fresno Pacific University,NCAA D2,"Fresno,California",Private,Pacific West Conference,fpusunbirds.com,FOUND
Frostburg State University,NCAA D2,"Frostburg,Maryland",Public,Mountain East Conferenc,frostburgsports.com,FOUND
Gannon University,NCAA D2,"Erie,Pennsylvania",Private,Pennsylvania State Athletic Conference,gannonsports.com,FOUND
Georgia College & State University,NCAA D2,"Milledgeville,Georgia",Public,Peach Belt Conference,georgiastatesports.com,FOUND
Georgian Court University,NCAA D2,"Lakewood,New Jersey",Private,Central Atlantic Collegiate Conference,gculions.com,FOUND
Glenville State University,NCAA D2,"Glenville,West Virginia",Public,Mountain East Conference,gstatepioneers.com,FOUND
Goldey-Beacom College,NCAA D2,"Wilmington,Delaware",Private,Central Atlantic Collegiate Conference,gbcathletics.com,FOUND
Grand Valley State University,NCAA D2,"Allendale,Michigan",Public,Great Lakes Intercollegiate Athletic Conference,gvsulakers.com,FOUND
Harding University,NCAA D2,"Searcy,Arkansas",Private,Great American Conference,hardingsports.com,FOUND
Hawaii Pacific University,NCAA D2,"Honolulu,Hawaii",Private,Pacific West Conference,hpusharks.com,FOUND
Henderson State University,NCAA D2,"Arkadelphia,Arkansas",Public,Great American Conference,hsusports.com,FOUND
Hillsdale College,NCAA D2,"Hillsdale,Michigan",Private,Great Midwest Athletic Conference,hillsdalechargers.com,FOUND
Holy Family University,NCAA D2,"Philadelphia,Pennsylvania",Private,Central Atlantic Collegiate Conference,athletics.holyfamily.edu,FOUND
Indiana University of Pennsylvania,NCAA D2,"Indiana,Pennsylvania",Public,Pennsylvania State Athletic Conference,iupathletics.com,FOUND
Johnson C. Smith University,NCAA D2,"Charlotte,North Carolina",Private,Central Intercollegiate Athletic Association,goldenbullsports.com,FOUND
Kentucky State University,NCAA D2,"Frankfort,Kentucky",Public,Southern Intercollegiate Athletic Conference,ksuthorobreds.com,FOUND
Kentucky Wesleyan College,NCAA D2,"Owensboro,Kentucky",Private,Great Midwest Athletic Conference,kwcpanthers.com,FOUND
King University – Tennessee,NCAA D2,"Bristol,Tennessee",Private,Conference Carolinas,kingtornado.com,FOUND
Kutztown University of Pennsylvania,NCAA D2,"Kutztown,Pennsylvania",Public,Pennsylvania State Athletic Conference,kutztown.edu,FOUND
Lake Erie College,NCAA D2,"Painesville,Ohio",Private,Great Midwest Athletic Conference,lakeeriestorm.com,FOUND
Lake Superior State University,NCAA D2,"Sault Ste Marie,Michigan",Public,Great Lakes Intercollegiate Athletic Conference,lssulakers.com,FOUND
Lander University,NCAA D2,"Greenwood,South Carolina",Public,Peach Belt Conference,landerbearcats.com,FOUND
Lane College,NCAA D2,"Jackson,Tennessee",Private,Southern Intercollegiate Athletic Conference,golcdragons.com,FOUND
LeMoyne-Owen College,NCAA D2,"Memphis,Tennessee",Private,Southern Intercollegiate Athletic Conference,athletics.loc.edu,FOUND
Lee University,NCAA D2,"Cleveland,Tennessee",Private,Gulf South Conference,,NOT_FOUND
Lees-McRae College,NCAA D2,"Banner Elk,North Carolina",Private,Conference Carolinas,lmcbobcats.com,FOUND
Lenoir-Rhyne University,NCAA D2,"Hickory,North Carolina",Private,South Atlantic Conference,lrbears.com,FOUND
Lewis University,NCAA D2,"Romeoville,Illinois",Private,Great Lakes Valley Conference,lewisflyers.com,FOUND
Limestone University,NCAA D2,"Gaffney,South Carolina",Private,South Atlantic Conference,limestone.edu,FOUND
Lincoln Memorial University,NCAA D2,"Harrogate,Tennessee",Private,South Atlantic Conference,lmurailsplitters.com,FOUND
Lincoln University Pennsylvania,NCAA D2,"Lincoln University,Pennsylvania",Public,Eastern College Athletic Conference,lincoln.edu,FOUND
Livingstone College,NCAA D2,"Salisbury,North Carolina",Private,Central Intercollegiate Athletic Association,bluebearathletics.com,FOUND
Lock Haven University,NCAA D2,"Lock Haven,Pennsylvania",Public,Pennsylvania State Athletic Conference,lockhavenathletics.com,FOUND
Lubbock Christian University,NCAA D2,"Lubbock,Texas",Private,Lone Star Conference,lcuchaps.com,FOUND
Lynn University,NCAA D2,"Boca Raton,Florida",Private,Sunshine State Conference,lynnfightingknights.com,FOUND
Malone University,NCAA D2,"Canton,Ohio",Private,Great Midwest Athletic Conference,malone.edu,FOUND
Mars Hill University,NCAA D2,"Mars Hill,North Carolina",Private,South Atlantic Conference,marshilllions.com,FOUND
Maryville University,NCAA D2,"Saint Louis,Missouri",Private,Great Lakes Valley Conference,maryvillesaints.com,FOUND
McKendree University,NCAA D2,"Lebanon,Illinois",Private,Great Lakes Valley Conference,mckbearcats.com,FOUND
Menlo College,NCAA D2,"Atherton,California",Private,Pacific West Conference,menloathletics.com,FOUND
Mercy University,NCAA D2,"Dobbs Ferry,New York",Private,East Coast Conference,mercyathletics.com,FOUND
Metropolitan State University of Denver,NCAA D2,"Denver,Colorado",Public,Rocky Mountain Athletic Conference,roadrunnersathletics.com,FOUND
Michigan Technological University,NCAA D2,"Houghton,Michigan",Public,Great Lakes Intercollegiate Athletic Conference,michigantechhuskies.com,FOUND
Midwestern State University,NCAA D2,"Wichita Falls,Texas",Public,Lone Star Conference,msumustangs.com,FOUND
Miles College,NCAA D2,"Fairfield,Alabama",Private,Southern Intercollegiate Athletic Conference,milesgoldenbears.com,FOUND
Millersville University of Pennsylvania,NCAA D2,"Millersville,Pennsylvania",Public,Pennsylvania State Athletic Conference,millersvilleathletics.com,FOUND
Minnesota State University – Mankato,NCAA D2,"Mankato,Minnesota",Public,Northern Sun Intercollegiate Conference,msumavericks.com,FOUND
Minnesota State University – Moorhead,NCAA D2,"Moorhead,Minnesota",Public,Northern Sun Intercollegiate Conference,msumavericks.com,FOUND
Minot State University,NCAA D2,"Minot,North Dakota",Public,Northern Sun Intercollegiate Conference,,NOT_FOUND
Mississippi College,NCAA D2,"Clinton,Mississippi",Private,Gulf South Conference,gochoctaws.com,FOUND
Missouri Southern State University,NCAA D2,"Joplin,Missouri",Public,Mid-America Intercollegiate Athletics Association,mssulions.com,FOUND
Missouri University of Science & Technology,NCAA D2,"Rolla,Missouri",Public,Great Lakes Valley Conference,minerathletics.com,FOUND
Missouri Western State University,NCAA D2,"Saint Joseph,Missouri",Public,Mid-America Intercollegiate Athletics Association,gogriffons.com,FOUND
Molloy University,NCAA D2,"Rockville Centre,New York",Private,East Coast Conference,molloylions.com,FOUND
Montana State University – Billings,NCAA D2,"Billings,Montana",Public,Great Northwest Athletic Conference,msubobcats.com,FOUND
Morehouse College,NCAA D2,"Atlanta,Georgia",Private,Southern Intercollegiate Athletic Conference,morehouseathletics.com,FOUND
New Mexico Highlands University,NCAA D2,"Las Vegas,New Mexico",Public,Rocky Mountain Athletic Conference,nmhuathletics.com,FOUND
Newberry College,NCAA D2,"Newberry,South Carolina",Private,South Atlantic Conference,newberrywolves.com,FOUND
Newman University,NCAA D2,"Wichita,Kansas",Private,Mid-America Intercollegiate Athletics Association,newmanjets.com,FOUND
North Greenville University,NCAA D2,"Tigerville,South Carolina",Private,Conference Carolinas,nguathletics.com,FOUND
Northern Michigan University,NCAA D2,"Marquette,Michigan",Public,Great Lakes Intercollegiate Athletic Conference,nmuwildcats.com,FOUND
Northern State University,NCAA D2,"Aberdeen,South Dakota",Public,Northern Sun Intercollegiate Conference,,NOT_FOUND
Northwest Missouri State University,NCAA D2,"Maryville,Missouri",Public,Mid-America Intercollegiate Athletics Association,bearcatsports.com,FOUND
Northwest Nazarene University,NCAA D2,"Nampa,Idaho",Private,Great Northwest Athletic Conference,nnusports.com,FOUND
Northwestern Oklahoma State University,NCAA D2,"Alva,Oklahoma",Public,Great American Conference,riderangersride.com,FOUND
Northwood University – Michigan,NCAA D2,"Midland,Michigan",Private,Great Midwest Athletic Conference,northwood.edu,FOUND
Nova Southeastern University,NCAA D2,"Fort Lauderdale,Florida",Private,Sunshine State Conference,nsusharks.com,FOUND
Ohio Dominican University,NCAA D2,"Columbus,Ohio",Private,Great Midwest Athletic Conference,ohiodominicanpanthers.com,FOUND
Oklahoma Baptist University,NCAA D2,"Shawnee,Oklahoma",Private,Great American Conference,obubison.com,FOUND
Oklahoma Christian University,NCAA D2,"Edmond,Oklahoma",Private,Lone Star Conference,oceagles.com,FOUND
Ouachita Baptist University,NCAA D2,"Arkadelphia,Arkansas",Private,Great American Conference,obutigers.com,FOUND
Pace University,NCAA D2,"New York,New York",Private,Northeast-10 Conference,paceuathletics.com,FOUND
Paine College,NCAA D2,"Augusta,Georgia",Private,Southern Intercollegiate Athletic Conference,paineathletics.com,FOUND
Palm Beach Atlantic University,NCAA D2,"West Palm Beach,Florida",Private,Sunshine State Conference,pbasailfish.com,FOUND
Pittsburg State University,NCAA D2,"Pittsburg,Kansas",Public,Mid-America Intercollegiate Athletics Association,pittstategorillas.com,FOUND
Point Loma Nazarene University,NCAA D2,"San Diego,California",Private,Pacific West Conference,pointloma.edu,FOUND
Point Park University,NCAA D2,"Pittsburgh,Pennsylvania",Private,Mountain East,pointparksports.com,FOUND
Post University,NCAA D2,"Waterbury,Connecticut",Private,Central Atlantic Collegiate Conference,posteagles.com,FOUND
Purdue University – Northwest,NCAA D2,"Hammond,Indiana",Public,Great Lakes Intercollegiate Athletic Conference,purduesports.com,FOUND
Quincy University,NCAA D2,"Quincy,Illinois",Private,Great Lakes Valley Conference,quhawks.com,FOUND
Regis University,NCAA D2,"Denver,Colorado",Private,Rocky Mountain Athletic Conference,regisrangers.com,FOUND
Roberts Wesleyan University,NCAA D2,"Rochester,New York",Private,East Coast Conference,robertsredhawks.com,FOUND
Rockhurst University,NCAA D2,"Kansas City,Missouri",Private,Great Lakes Valley Conference,rockhursthawks.com,FOUND
Rollins College,NCAA D2,"Winter Park,Florida",Private,Sunshine State Conference,rollinssports.com,FOUND
Roosevelt University,NCAA D2,"Chicago,Illinois",Private,Great Lakes Intercollegiate Athletic Conference,rooseveltlakers.com,FOUND
Saginaw Valley State University,NCAA D2,"University Center,Michigan",Public,Great Lakes Intercollegiate Athletic Conference,gvsulakers.com,FOUND
Saint Anselm College,NCAA D2,"Manchester,New Hampshire",Private,Northeast-10 Conference,saintanselmhawks.com,FOUND
Saint Augustine's University,NCAA D2,"Raleigh,North Carolina",Private,Central Intercollegiate Athletic Association,saintaugfalcons.com,FOUND
Saint Leo University,NCAA D2,"Saint Leo,Florida",Private,Sunshine State Conference,saintleolions.com,FOUND
Saint Martin's University,NCAA D2,"Lacey,Washington",Private,Great Northwest Athletic Conference,smusaints.com,FOUND
Saint Michael's College,NCAA D2,"Colchester,Vermont",Private,Northeast-10 Conference,smcathletics.com,FOUND
Salem University,NCAA D2,"Salem,West Virginia",Private,Eastern Collegiate Athletic Conferenc,salemtigers.com,FOUND
San Francisco State University,NCAA D2,"San Francisco,California",Public,California Collegiate Athletic Association,usfdons.com,FOUND
Savannah State University,NCAA D2,"Savannah,Georgia",Public,Southern Intercollegiate Athletic Conference,ssuathletics.com,FOUND
Seattle Pacific University,NCAA D2,"Seattle,Washington",Private,Great Northwest Athletic Conference,goboxers.com,FOUND
Seton Hill University,NCAA D2,"Greensburg,Pennsylvania",Private,Pennsylvania State Athletic Conference,athletics.setonhill.edu,FOUND
Shaw University,NCAA D2,"Raleigh,North Carolina",Private,Central Intercollegiate Athletic Association,shawbears.com,FOUND
Shepherd University,NCAA D2,"Shepherdstown,West Virginia",Public,Pennsylvania State Athletic Conference,shepherdrams.com,FOUND
Shippensburg University of Pennsylvania,NCAA D2,"Shippensburg,Pennsylvania",Public,Pennsylvania State Athletic Conference,shipraiders.com,FOUND
Shorter University,NCAA D2,"Rome,Georgia",Private,Conference Carolinas,goshorterhawks.com,FOUND
Slippery Rock University,NCAA D2,"Slippery Rock,Pennsylvania",Public,Pennsylvania State Athletic Conference,rockathletics.com,FOUND
Sonoma State University,NCAA D2,"Rohnert Park,California",Public,California Collegiate Athletic Association,sonomaseawolves.com,FOUND
South Dakota Mines,NCAA D2,"Rapid City,South Dakota",Public,Rocky Mountain Athletic Conference,minesathletics.com,FOUND
Southeastern Oklahoma State University,NCAA D2,"Durant,Oklahoma",Public,Great American Conference,gosoutheastern.com,FOUND
Southern Arkansas University,NCAA D2,"Magnolia,Arkansas",Public,Great American Conference,muleriderathletics.com,FOUND
Southern Connecticut State University,NCAA D2,"New Haven,Connecticut",Public,Northeast-10 Conference,scsuowls.com,FOUND
Southern Nazarene University,NCAA D2,"Bethany,Oklahoma",Private,Great American Conference,snuathletics.com,FOUND
Southern New Hampshire University,NCAA D2,"Manchester,New Hampshire",Private,Northeast-10 Conference,snhupenmen.com,FOUND
Southern Wesleyan University,NCAA D2,"Central,South Carolina",Private,Conference Carolinas,swuathletics.com,FOUND
Southwest Baptist University,NCAA D2,"Bolivar,Missouri",Private,Great Lakes Valley Conference,sbubearcats.com,FOUND
Southwest Minnesota State University,NCAA D2,"Marshall,Minnesota",Public,Northern Sun Intercollegiate Conference,msumavericks.com,FOUND
Southwestern Oklahoma State University,NCAA D2,"Weatherford,Oklahoma",Public,Great American Conference,swosuathletics.com,FOUND
Spring Hill College,NCAA D2,"Mobile,Alabama",Private,Southern Intercollegiate Athletic Conference,shcbadgers.com,FOUND
St. Cloud State University,NCAA D2,"Saint Cloud,Minnesota",Public,Northern Sun Intercollegiate Conference,scsuhuskies.com,FOUND
St. Edward's University,NCAA D2,"Austin,Texas",Private,Lone Star Conference,gohilltoppers.com,FOUND
St. Mary's University – Texas,NCAA D2,"San Antonio,Texas",Private,Lone Star Conference,rattlerathletics.com,FOUND
