school_name,division,city_state,type,conference,athletics_domain,status
La Sierra University,NAIA,"Riverside,California",Private,California Pacific Conference,athletics.sierracollege.edu,FOUND
Langston University,NAIA,"Langston,Oklahoma",Public,Sooner Athletic Conference,langstonsports.com,FOUND
Lawrence Technological University,NAIA,"Southfield,Michigan",Private,Wolverine-Hoosier Athletic Conference,ltuathletics.com,FOUND
Lewis-Clark State College,NAIA,"Lewiston,Idaho",Public,Cascade Collegiate Conference,lcwarriors.com,FOUND
Life Pacific University,NAIA,"San Dimas,California",Private,Great Southwest Athletic Conference,lifepacific.edu,FOUND
Life University,NAIA,"Marietta,Georgia",Private,Southern States Athletic Conference,liferunningeagles.com,FOUND
Lindsey Wilson College,NAIA,"Columbia,Kentucky",Private,Mid-South Conference,lindseyathletics.com,FOUND
Louisiana Christian University,NAIA,"Pineville,Louisiana",Private,Red River Athletic Conference,lcwildcats.net,FOUND
Lourdes University,NAIA,"Sylvania,Ohio",Private,Wolverine-Hoosier Athletic Conference,lourdesathletics.com,FOUND
Loyola University New Orleans,NAIA,"New Orleans,Louisiana",Private,Southern States Athletic Conference,loyolawolfpack.com,FOUND
Madonna University,NAIA,"Livonia,Michigan",Private,Wolverine-Hoosier Athletic Conference,mucrusaders.com,FOUND
Marian University – Indiana,NAIA,"Indianapolis,Indiana",Private,Crossroads League,marian.edu,FOUND
Mayville State University,NAIA,"Mayville,North Dakota",Public,North Star Athletic Association,msucomets.com,FOUND
McPherson College,NAIA,"Mcpherson,Kansas",Private,Kansas Collegiate Athletic Conference,macbulldogs.com,FOUND
Mid-America Christian University,NAIA,"Oklahoma City,Oklahoma",Private,Sooner Athletic Conference,macuathletics.com,FOUND
MidAmerica Nazarene University,NAIA,"Olathe,Kansas",Private,Heart of America Athletic Conference,mnusports.com,FOUND
Middle Georgia State University,NAIA,"Macon,Georgia",Public,Southern States Athletic Conference,georgiastatesports.com,FOUND
Midland University,NAIA,"Fremont,Nebraska",Private,Great Plains Athletic Conference,midlandathletics.com,FOUND
